G,M20,C,A,z,d
0.504693664799751,-1.84264087616071,3.57616535107618,0.129013983939496,0.82,0.388302096758578
0.433492285980024,-1.1697476389735,3.10393208720358,0.209042191697251,0.83,0.483552632460407
0.287995253794197,-0.966810379643138,2.27855628892391,0.112883946244716,1,0.119442859479996
0.517034044130523,-1.25027919530509,2.81661082728353,0.148927846078151,1.01,0.121105248049311
0.303455775671215,-1.25046097550599,2.45671726779084,0.0585483690888127,0.93,0.971818870490995
0.536113882926862,-1.80672778699131,4.16546620982066,0.265139047786863,0.86,0.776140903192588
0.414133117056746,-1.8123780704606,3.43670277893919,0.11003857895882,0.79,0.309210050845135
0.410450597439691,-1.56937007721306,3.33677421879445,0.114194027185687,0.94,0.920343423592242
0.542555452114619,-1.74147360143952,3.6982740584086,0.127503085796281,0.94,0.920343423592242
0.426854838166625,-1.56344614404821,3.09427404602116,0.0876121837931266,0.72,0.861063257774717
0.466351952522434,-1.00842252554612,2.50937685750104,0.209662494353791,0.93,0.971818870490995
0.514834547419262,-1.94146758434975,3.92994154337506,0.134049180464295,0.91,0.785010927466818
0.397682737305622,-1.02954273740073,1.76568833537357,0.156383135019823,0.94,0.920343423592242
0.557578969862245,-2.00995188865504,4.14091536316521,0.119403583653205,0.95,0.820377323391621
0.456952034793859,-1.1713287078541,2.60294337630142,0.200900007369961,0.87,0.769764966913736
0.505596302674748,-1.60945387885162,3.39662704068014,0.133582054388828,0.86,0.776140903192588
0.468824654664978,-1.82108620216868,2.73190489953117,0.163275664363274,0.94,0.920343423592242
0.434817719526611,-1.54793451764383,2.72551642819732,0.183876006345004,0.93,0.971818870490995
0.458057743740875,-1.42951432707871,2.57918811562507,0.120054287617635,0.73,0.862375774453322
0.587685533909829,-1.88258551553808,3.93396534865304,0.0889011016432654,0.93,0.971818870490995
0.302737033545329,-1.11057849989439,2.38117992962356,0.0970539300536073,0.93,0.971818870490995
0.558251113315734,-2.36248474431016,4.324763075627,0.216042636177422,1.009,0.121216453333207
0.506573127563305,-1.85218370704674,3.74583895263448,0.172515283427312,0.92,0.991516213113188
0.913983990226315,-1.51874262410464,2.87772473465474,0.46304740395227,0.72,0.861063257774717
0.408251481035817,-1.28508423363808,3.19964992952288,0.175259394840762,1.122,0.0799211659871594
0.502892959471363,-1.98583379338965,3.60582894143029,0.177263893579674,0.68,0.698688438927053
0.45675427866082,-1.72421193360457,2.82217379328401,0.0972853342614623,0.69,0.794169194681158
0.502523946409853,-1.58689418233738,3.33282851487779,0.218254443892408,1.08,0.259360693107915
0.34896117717144,-1.97664129025268,3.06936221138445,0.156853285612698,0.69,0.794169194681158
0.514511563203042,-1.98111641512723,4.09264900528416,0.0261162906404233,0.93,0.971818870490995
