koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
4.959319244,0,0.831,2.22739,9802,0.103379,1.46169,12.21,0.0565,86.15,1103,349.4,12.386,5712,4.359,0.1,1.082,0.976,CANDIDATE
2.701287801,0,1.016,3.3827,860.4,0.06584,0.02818,6.54,0.0365,62.69,1222,527.81,2.22,5550,4.468,-0.04,0.91,0.889,FALSE POSITIVE
4.49876511,0,0.312,3.7362,460,0.019817,0.67106,2.1,0.0542,88,1133,389.62,8.95,6075,4.486,-0.12,0.969,1.048,CONFIRMED
19.651209505,0,0.723,5.2514,11766,0.106953,0.67559,12.42,0.1433,88.27,730,67.03,23.98,6074,4.391,-0.12,1.063,1.014,FALSE POSITIVE
5.412203927,0,0.787,2.9472,601.6,0.024775,0.51087,2.94,0.0591,85.12,1093,337.68,9.25,5779,4.339,-0.06,1.087,0.941,CONFIRMED
41.43958662,0,0.355,10.5989,2793.1,0.048175,0.28189,5.5,0.2288,89.31,516,16.72,29.47,5468,4.367,0.22,1.046,0.93,CONFIRMED
8.35389523,0,0.023,2.2514,1041.6,0.029305,6.73215,2.52,0.0768,89.95,790,91.9,29.18,5592,4.582,-0.28,0.787,0.862,CONFIRMED
4.125543472,0,0.597,3.1744,1487.3,0.036796,0.67162,4.43,0.0529,85.95,1243,565.35,8.45,6174,4.417,0.1,1.103,1.162,CONFIRMED
2.816504904,0,0.105,2.50587,16814,0.117059,2.09079,12.21,0.0383,89.37,1219,521.13,9.571,5532,4.452,0.14,0.955,0.941,CONFIRMED
33.93373447,0,0.812,14.561,8503.7,0.095386,0.0371,7.34,0.1881,86.45,430,8.11,13.12,5040,4.628,-0.24,0.705,0.782,FALSE POSITIVE
3.689920099,0,0.151,2.6557,426.7,0.018878,1.70798,1.89,0.0469,89.19,1147,408.99,10.71,5880,4.518,-0.06,0.917,1.01,CONFIRMED
4.431238488,0,0.405,3.15,1010.9,0.02933,1.01996,3.25,0.0529,87.72,1104,351.23,10.19,5714,4.428,0.16,1.015,1.007,CONFIRMED
11.37936986,0,0.911,2.6255,1023.5,0.035628,0.63438,3.95,0.0993,86.8,806,99.68,16.31,5714,4.428,0.16,1.015,1.007,CONFIRMED
26.39432897,0,0.602,3.573,1510.9,0.03681,2.93923,3.07,0.1635,89.28,489,13.49,47.7,5129,4.595,0.02,0.763,0.846,CONFIRMED
13.57078281,0,0.866,3.3539,511.7,0.023908,0.49865,2.64,0.1096,87.07,785,89.61,16.93,5854,4.406,-0.12,1.012,0.951,CONFIRMED
7.12594387,0,0.898,3.0014,192.4,0.01512,0.23879,1.79,0.0711,84.02,997,233.31,8.62,5779,4.339,-0.06,1.087,0.941,CONFIRMED
7.442652004,0,0.137,2.3078,24446,0.143936,7.48712,15.03,0.0742,89.72,967,206.78,27.99,6108,4.469,-0.3,0.956,0.981,FALSE POSITIVE
16.38489988,0,0.001,3.0249,1127.1,0.029758,5.4538,2,0.1084,90,433,8.35,42.62,4126,4.661,0.04,0.615,0.633,CONFIRMED
7.8774163,0,0.041,2.0805,1306.1,0.03209,8.09685,2.16,0.0665,89.92,553,22.18,29.84,4126,4.661,0.04,0.615,0.633,CONFIRMED
36.4454001,0,0.028,4.007,1122.3,0.029681,5.21237,1.99,0.1847,89.98,332,2.88,71.53,4126,4.661,0.04,0.615,0.633,CONFIRMED
3.728732147,0,0.558,2.683,5226.5,0.068178,1.24118,6.02,0.0455,86.7,1023,258.34,9.7,5497,4.577,-0.1,0.809,0.907,CONFIRMED
