ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
288.911772,-31.790813,3.226,-16.323,11.1296402,7.1068241,968.6119325,12.9783824,1255.7,1518.2,9.3781,338.831,5785,4.344,3.4475601,PC
269.714503,-60.922727,4.297,-207.409,9.4496506,2.021,19750,17.0216,38.5799,694,9.7825,98.8783,5509,4.39758,0.94,PC
68.959816,-64.027039,10.845,-0.499,2.8493824,3.806,7730,16.4149,3854.88,2195,10.3157,364.411,6900,4.438,1.77,CP
38.120968,-78.023683,107.847,30.732,4.1150133,1.1960092,524.8418785,2.0840072,225.95716,988.8405704,9.478,82.1733,5394,4.50942,0.887336,PC
230.555493,-83.056214,-89.125,-9.6,10.0665634,1.981,640,2.09966,23.8187,615,9.0689,61.1201,5552,4.61783,0.79,PC
296.003935,-47.56203,-3.457,-100.891,6.4438568,1.9034071,1067.3219754,2.4800254,60.8314178,712.2816141,10.0059,68.0726,4803,4.52079,0.737189,PC
296.003935,-47.56203,-3.457,-100.891,12.2264881,2.1689136,1245.05985,2.5664499,25.8972395,575.3513252,10.0059,68.0726,4803,4.52079,0.737189,PC
288.672005,-59.57935,3.125,6.146,3.1319587,2.3341546,13437.0890105,8.722482,148.6364533,890.5351849,13.1686,263.609,4351,4.438,0.76701,CP
313.783239,-34.135751,26.376,-44.947,3.9499589,4.5528833,12820.185499,19.7298555,1364.2013036,1550.0273618,9.6433,211.211,6153,4.18077,1.71036,CP
75.627307,-72.913998,1.679,32.797,12.8379689,9.8464123,10539.0192794,25.4886382,374.129,1225,11.7106,703.878,5765,4.34773,2.4494,FP
287.484402,-49.664942,3.827,4.878,3.9225465,1.9170724,29838.1994454,12.9369776,91.1754943,788.1144334,13.6699,300.67,4444,4.438,0.6983,CP
310.761004,-72.010267,20.031,42.175,13.9427597,3.7732511,1351.4876372,2.8501548,28.093,587.18,10.6339,107.356,5206,4.63095,0.741671,PC
309.971209,-65.449699,-99.737,-59.95,0.6047427,0.988221,912.4406978,1.8764454,528.02,1222.6,11.1186,61.4592,4046,4.60963,0.653189,PC
173.810798,-88.096213,-22.788,9.977,1.6062803,1.975922,16266.0953785,12.5747284,844.26,1374.8,13.461,463.683,5192,4.4617,0.914109,PC
316.96148,-26.09672,3.479,-10.313,3.0446157,2.561663,21537.5752091,11.9166737,315.9094217,1075.2523347,13.163,421.855,5523,4.52192,0.809868,CP
83.275809,-80.815478,-10.282,45.685,16.3469247,2.816,2614,2.84105,6.7889,449,11.8835,100.248,4310,4.57345,0.70258,PC
305.56982,-88.568495,16.867,-14.683,3.7178739,5.4901064,4872.873933,14.7464854,1925.1,1689.4,12.2303,736.397,5818,4.33787,2.0840001,PC
238.001011,-76.49349,-5.338,-9.267,9.30992,3.464,2220,14.2968,215.208,1067,9.4142,416.25,6907,3.63,3.09,FP
228.84306,-52.885989,-10.161,-5.871,4.73703,3.902,2410,25.7144,53821,4243,10.3918,778.127,11600,4.13,2.48,FP
313.215475,-25.687376,1.053,-9.881,2.7667639,2.6433978,15749.8566685,12.4991061,505.8830536,1209.5735527,13.2366,513.011,5346,4.48823,0.984866,CP
242.016315,-68.588832,5.989,2.514,2.19296,4.586,4933.74,22.7769,31883.5,3722,10.0196,566.502,7009.8,3.6,2.95,FP
