ra,dec,signal.noise,mag.u,mag.g,mag.r,mag.i,mag.z,log.g,metallicity,temperature,velocity.los
260.0115,57.8158888888889,3,21.1994819641113,19.7034778594971,19.0773372650146,18.8192100524902,18.6614570617676,3.7,-1.3,5923,-294.1
259.873666666667,57.7162777777778,4.1,21.5194530487061,20.1110057830811,19.4323711395264,19.1382884979248,19.1425285339355,3.1,-1.73,4935,-205.1
259.935208333333,57.7909166666667,3.5,21.7156143188477,20.2636470794678,19.6691455841064,19.4021587371826,19.150218963623,4.5,-1.13,6503,-282.1
259.935208333333,57.7909166666667,3.2,21.7156143188477,20.2636470794678,19.6691455841064,19.4021587371826,19.150218963623,2.1,-2.2,4873,-283.7
260.0805,57.8554166666667,2.9,21.408748626709,20.0511608123779,19.4791431427002,19.1644744873047,19.027515411377,1.2,-1.89,4886,-277.5
260.003875,57.7531111111111,4.9,21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594,3.7,-1.02,5994,-298.2
260.003875,57.7531111111111,3.1,21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594,1.2,-1.96,4522,-297.3
260.003875,57.7531111111111,0.8,21.9557647705078,20.3382663726807,19.7186489105225,19.4500942230225,19.3753356933594,3.2,0.04,4741,-299.1
259.882791666667,57.5596388888889,12.2,20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949,1.1,-3.28,4748,-309.1
259.882791666667,57.5596388888889,14.7,20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949,1.1,-3.16,4789,-310.5
259.882791666667,57.5596388888889,13.7,20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949,1.9,-3.18,4648,-309.1
259.882791666667,57.5596388888889,10.2,20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949,1.3,-3.29,4543,-310.4
259.882791666667,57.5596388888889,13,20.2391548156738,18.4770011901855,17.6676292419434,17.2938632965088,17.0696220397949,1.6,-3.29,4554,-310.7
260.088,57.8242222222222,11.9,20.4454708099365,18.1615447998047,17.1976680755615,16.7762317657471,16.5513725280762,2.6,-1.99,5285,-293.6
260.088,57.8242222222222,14.1,20.4454708099365,18.1615447998047,17.1976680755615,16.7762317657471,16.5513725280762,0.7,-1.7,4609,-295.5
260.103791666667,57.8118888888889,1.4,21.5735893249512,20.193811416626,19.5827083587646,19.2994232177734,19.2676048278809,2,-1.69,4626,-312.2
260.103791666667,57.8118888888889,2.6,21.5735893249512,20.193811416626,19.5827083587646,19.2994232177734,19.2676048278809,3.2,-1.69,5120,-309.6
260.0775,57.7669722222222,4.4,20.9396362304688,19.3018760681152,18.6589756011963,18.3612174987793,18.2198371887207,2,-1.71,4971,-303.2
