ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
264.110833333333,-40.8722222222222,3.1886e-10,4.7262,PowerLaw,2531.89,3.7321e-12,4.9474e-14,2.2439,5.7404e-14,2.2122,0.09,5.4706e-14,1.9902,0.00122,0.6667,1.04,357.76,6.576393,0,NOT_BLL
246.04,-40.7072222222222,4.271e-09,39.3092,PLSuperExpCutoff,1582.01,2.7566e-11,1.5573e-12,2.3761,2.2815e-12,2.3099,0.4318,2.2701e-12,1.0256,0.01275,0.6667,13.26,3519.27,12.521654,0.0556,NOT_BLL
74.11125,-40.7222222222222,1.0012e-10,5.0338,PowerLaw,1798.28,1.2148e-12,3.3826e-14,2.2998,3.0176e-14,2.3731,-0.0664,3.3828e-14,2.3059,-2e-05,0.6667,0.03,218.03,22.734777,0.5362,NOT_BLL
351.181666666667,-40.6833333333333,1.0472e-09,34.0507,LogParabola,2867.84,1.1695e-11,1.2599e-13,1.7884,1.3757e-13,1.6235,0.0846,1.3247e-13,1.5167,0.00076,0.6667,3.36,722.82,49.918945,0.4021,BLL
266.945833333333,-40.6230555555556,1.8204e-09,23.5128,PLSuperExpCutoff,1471.14,1.2149e-11,7.8807e-13,2.3725,1.1744e-12,2.3758,0.4468,1.1638e-12,1.014,0.01404,0.6667,8.94,1773.57,7.383029,0,NOT_BLL
196.71125,-40.6,8.986e-10,21.6551,LogParabola,788.01,8.6926e-12,2.0494e-12,2.4251,2.3218e-12,2.2404,0.1558,2.2588e-12,1.8875,0.00533,0.6667,4.25,1472.92,11.235655,0.0895,NOT_BLL
352.081666666667,-40.6036111111111,1.8498e-09,44.3099,LogParabola,770.95,2.1057e-11,4.6242e-12,2.3817,4.9807e-12,2.3326,0.0706,4.8849e-12,2.1861,0.00214,0.6667,3.93,3885.54,246.799026,0.5321,NOT_BLL
177.386666666667,-40.4911111111111,3.8299e-10,10.7814,PowerLaw,1146.54,4.8912e-12,3.7857e-13,2.3635,4.4888e-13,2.3028,0.128,4.2612e-13,2.0533,0.00277,0.6667,1.9,804.03,28.0844,0.5284,NOT_BLL
276.912083333333,-40.4933333333333,3.1895e-10,6.8205,LogParabola,924.83,2.3625e-12,4.4576e-13,2.5289,6.6062e-13,2.2224,0.4591,6.4557e-13,0.8373,0.01918,0.6667,3.5,444.95,8.456498,0,NOT_BLL
17.5158333333333,-40.3177777777778,1.6027e-10,9.366,PowerLaw,3930.73,1.9581e-12,1.1149e-14,1.8152,1.3746e-14,1.6957,0.1327,1.2853e-14,1.4754,0.0011,0.6667,1.55,170.03,19.406181,0.4994,BLL
90.7166666666667,-40.3291666666667,1.1795e-09,32.6368,LogParabola,1950.76,1.0448e-11,2.8791e-13,1.9492,3.2071e-13,1.7911,0.1037,3.0941e-13,1.6104,0.00148,0.6667,4.12,1025.6,15.457024,0.1444,BLL
109.925,-40.2141666666667,5.6743e-10,14.1516,PowerLaw,1616.9,6.5905e-12,2.3978e-13,2.2298,2.6089e-13,2.1837,0.0604,2.5822e-13,2.0091,0.00135,0.6667,1.78,895.5,4.285853,0,BLL
53.5566666666667,-40.145,3.2367e-09,82.807,LogParabola,596.83,3.1112e-11,1.1387e-11,2.1829,1.2146e-11,2.0776,0.0723,1.175e-11,1.9977,0.00178,0.6667,5.54,5090.32,481.681702,0.4733,BLL
210.054166666667,-40.1805555555556,1.5692e-10,6.0303,PowerLaw,4477.97,1.7592e-12,7.963e-15,1.9861,8.9875e-15,1.9698,0.0781,8.721e-15,1.7916,0.00079,0.6667,0.45,186.06,2.70911,0,BLL
296.292083333333,-40.1208333333333,3.2923e-10,7.723,LogParabola,1769.46,1.6535e-12,8.5494e-14,2.2339,1.3554e-13,1.9606,0.5304,1.2987e-13,0.4718,0.01349,0.6667,3.72,242.93,39.735725,0.9404,NOT_BLL
153.36875,-40.1077777777778,2.7793e-10,8.0875,PowerLaw,1980.58,3.1696e-12,7.4343e-14,2.1904,8.9961e-14,2.1105,0.1337,8.4776e-14,1.8485,0.00198,0.6667,1.69,442.7,12.578464,0.1457,BLL
47.3616666666667,-40.0063888888889,1.0913e-10,6.8609,PowerLaw,4110.31,1.3138e-12,6.9567e-15,1.8356,8.253e-15,1.7437,0.11,7.912e-15,1.5161,0.00099,0.6667,1.25,120.46,9.411233,0,NOT_BLL
140.691666666667,-39.9866666666667,5.2325e-10,13.5155,PowerLaw,751.6,8.8338e-12,1.769e-12,2.6061,2.0481e-12,2.5642,0.1201,1.9803e-12,2.2816,0.00409,0.6667,2.34,1326.87,203.852722,1.2715,NOT_BLL
242.597916666667,-39.9736111111111,8.6355e-10,14.196,PowerLaw,922.77,1.4123e-11,1.6824e-12,2.5827,1.9026e-12,2.5561,0.096,1.7964e-12,2.4114,0.00184,0.6667,1.51,1651.06,30.844543,0.4151,NOT_BLL
294.309166666667,-39.9825,6.0727e-10,18.4051,PowerLaw,547.38,1.1086e-11,5.0141e-12,2.6611,5.4396e-12,2.6133,0.072,5.3353e-12,2.457,0.00287,0.6667,1.82,2038.96,55.936783,0.4129,NOT_BLL
219.981666666667,-39.8975,3.2671e-10,9.6295,PowerLaw,2987.28,3.6329e-12,3.6417e-14,2.0873,3.4361e-14,2.1171,-0.0326,3.6193e-14,2.1029,-5e-05,0.6667,0.14,418.37,17.899229,0.406,BLL
3.28,-39.9272222222222,4.1848e-10,18.3475,PowerLaw,2175.2,4.6749e-12,8.9359e-14,2.0023,1.0372e-13,1.9179,0.1152,1.0263e-13,1.5953,0.00222,0.6667,2.75,564.84,12.137733,0.1878,BLL
