u.mag,g.mag,r.mag,i.mag,z.mag,redshift,redshift.err,class
23.00309,20.74252,20.40099,20.2445,20.30707,3.210652,0.0005982133,QSO
21.73806,18.99879,18.53105,18.35541,18.34819,3.243263,-1,QSO
19.47322,18.75986,18.72115,18.594,18.30842,2.388134,0.0006285599,QSO
21.19373,19.71745,19.05561,18.64665,18.26851,2.663613,0.0005282258,QSO
18.95938,18.15278,17.88673,17.73825,17.41161,2.454623,0.0004006727,QSO
18.92139,18.63134,18.31698,18.24023,18.24814,2.674829,0.0003103265,QSO
21.63227,20.30066,19.53559,19.19477,18.79767,2.265282,0.0003889552,QSO
19.58606,19.01443,18.9642,19.04904,18.81794,2.43318,0.0005030393,QSO
18.98308,18.44928,18.43619,18.3679,18.15483,2.244349,0.0001989186,QSO
19.88852,19.42718,19.31023,19.2079,18.98307,2.217818,0.0004135405,QSO
19.82413,19.28064,19.21378,19.16679,19.02721,2.320818,0.0003340497,QSO
19.55122,19.1551,19.02912,18.9464,18.80226,2.203372,0.0008981082,QSO
20.12851,18.50055,18.14117,18.06606,18.00644,3.34888,0.0003375269,QSO
19.86263,19.25789,19.21095,19.18225,19.09563,2.444069,0.000852621,QSO
19.80061,19.3742,19.21132,19.21503,19.03086,2.26866,0.001200113,QSO
19.3077,18.53468,18.53784,18.39199,18.10522,2.254899,0.0003048545,QSO
23.86615,20.99069,20.37871,19.83663,19.78462,2.985843,0.001052624,QSO
21.69339,20.89635,20.47497,20.27648,19.90899,2.279894,0.0007326956,QSO
25.3579,20.73959,20.81416,20.29027,20.00363,3.176691,0.000389155,QSO
18.57622,18.00501,17.98448,17.94623,17.77447,2.279239,2.145488e-06,QSO
21.54587,19.86642,19.71993,19.64719,19.64686,2.911769,0.000939461,QSO
19.50769,18.81071,18.74008,18.76529,18.57378,2.485953,0.0002974081,QSO
20.09681,19.35696,19.05364,18.96076,18.60769,2.27317,0.0004261654,QSO
19.60645,18.94392,18.81397,18.65558,18.34454,2.59575,0.0002848271,QSO
20.59143,19.42103,19.24416,19.23856,18.9957,2.566863,0.0001855685,QSO
19.92009,19.29957,19.02431,18.89669,18.67821,2.467873,0.0004451012,QSO
20.47461,19.25719,19.07393,18.93644,18.82383,2.815277,0.0002914231,QSO
19.81133,19.0886,19.00026,18.8429,18.51662,2.413287,0.0002492854,QSO
19.81,19.27678,19.17781,19.14171,18.89625,2.486594,0.0002188887,QSO
22.75678,21.41065,21.00289,20.62568,20.04264,2.543283,0.001081045,QSO
20.78281,20.16733,20.0962,19.96803,19.7824,2.294816,0.0007139329,QSO
19.39748,18.67465,18.4939,18.49367,18.10703,2.513758,0.0002840818,QSO
21.4468,19.68246,19.54356,19.45139,19.33168,2.967576,0.0002227017,QSO
21.64554,20.53199,20.30803,20.06167,19.65061,2.604136,0.0005913776,QSO
22.6824,21.21583,20.33983,19.65464,19.23017,3.047233,0.0008557522,QSO
19.0652,18.4517,18.44158,18.34924,18.12119,2.35494,0.0002831852,QSO
20.36654,19.7752,19.16791,19.04779,18.87008,2.302335,0.0005768897,QSO
19.78079,19.16237,19.04988,18.97988,18.93854,2.275846,0.0004520832,QSO
19.80783,19.28984,19.11949,19.01962,18.80086,2.213473,0.0004058025,QSO
24.51441,20.47661,19.96338,19.85515,19.65041,3.285207,0.001192547,QSO
19.26432,18.83963,18.71985,18.67115,18.60021,2.205053,0.000457826,QSO
19.83274,19.39219,19.26727,19.24174,19.12133,2.257972,0.0006010206,QSO
19.69784,19.04981,18.9022,18.91784,18.75347,2.351813,0.000379952,QSO
21.24407,19.50253,19.34869,19.23955,19.12595,2.859873,0.0003652343,QSO
19.40875,19.03016,19.10482,18.99546,18.83195,2.248871,0.0003305447,QSO
22.77117,20.17102,20.10427,20.14018,20.40126,3.225117,0.0001698428,QSO
20.57059,19.16249,18.82818,18.63157,18.62617,2.94093,0.0006694592,QSO
18.88139,18.34525,18.20155,18.19414,17.94005,2.555359,0.0003086955,QSO
18.71486,18.17638,18.07353,18.06691,17.94738,2.354993,0.0004606171,QSO
19.85394,19.09183,18.94092,18.79642,18.59885,2.576277,0.0001948194,QSO
19.5646,18.97494,18.83142,18.78447,18.52926,2.491499,0.0003957223,QSO
20.56613,20.0214,19.95238,19.84079,19.40313,2.424109,0.0004530349,QSO
24.92538,21.34601,20.51792,19.84728,19.51207,3.264285,1.204959,QSO
23.62735,21.47602,20.76694,20.53342,20.07708,2.476322,0.0007744175,QSO
22.13666,20.98303,20.40188,20.07685,19.5476,2.981315,0.0006125203,QSO
19.87513,19.18796,18.99616,18.91513,18.73491,2.234677,0.0004660741,QSO
19.66148,19.3145,19.27193,19.2195,19.06724,2.310088,0.0003293515,QSO
19.56793,19.07359,19.08172,19.02145,18.78005,2.333077,0.0002572204,QSO
19.89828,19.39952,19.19533,18.95229,18.64159,2.25223,0.0005463649,QSO
19.9201,19.33473,19.40725,19.24259,19.04343,2.235509,0.0002780315,QSO
19.78253,19.15537,19.15279,19.09253,18.91479,2.353373,0.0002609044,QSO
20.73943,19.68531,19.41049,19.32925,19.14493,2.831881,0.0006865103,QSO
19.32563,18.70867,18.64911,18.6564,18.39736,2.382629,0.0002710802,QSO
19.2965,18.71123,18.52611,18.51986,18.32917,2.578358,0.0003977306,QSO
18.43725,18.07381,17.92326,17.87062,17.68409,2.2154,0.0002230705,QSO
21.72639,20.86964,20.64944,20.26025,19.70078,2.271136,0.0009913036,QSO
20.56575,19.42622,19.14885,19.06948,18.62376,2.543711,0.0002290379,QSO
19.95827,19.35905,19.31272,19.3292,19.22542,2.415926,0.0006523263,QSO
21.14275,19.66863,19.16389,18.70891,18.24817,2.558532,0.0003610933,QSO
21.56038,20.04316,19.80528,19.82626,19.73414,3.243493,0.0002055412,QSO
18.90663,18.44917,18.2534,18.12107,17.86778,2.981628,0.000261803,QSO
21.61178,20.57138,20.00709,19.6174,19.10653,2.3793,0.0005334031,QSO
22.5411,21.24707,20.40891,19.92333,19.51481,2.735519,0.0005473283,QSO
20.18015,19.54752,19.42173,19.36385,19.13062,2.239617,0.0005179062,QSO
22.65417,21.27628,20.61001,20.13393,19.59422,2.360081,0.0009652503,QSO
20.90783,19.93234,19.4304,19.47233,19.127,2.438038,0.000946679,QSO
21.36828,20.13836,19.6682,19.57981,19.12806,2.562434,0.0005707268,QSO
19.86332,18.70847,18.36592,17.99394,17.6733,2.693552,0.0002709226,QSO
19.52968,19.09458,19.0296,19.10575,19.03665,2.447991,0.0004173241,QSO
19.73252,19.16294,19.12156,19.09199,18.89656,2.285583,0.0003834143,QSO
21.42315,19.91178,19.71328,19.49646,19.25026,3.022776,0.0002625331,QSO
19.0409,18.48429,18.36364,18.3619,18.15294,2.378853,0.0002791979,QSO
20,19.2333,18.96658,18.70869,18.39653,2.322922,0.0003989871,QSO
21.37821,20.64808,20.79942,20.54625,20.23537,2.259635,0.0002589706,QSO
21.03936,20.46069,20.22608,20.31638,20.005,2.399012,0.0006442188,QSO
22.69947,20.86455,20.24499,20.04599,19.79535,3.43242,0.0005670989,QSO
20.82125,20.05037,19.86883,19.85542,19.64672,2.500443,0.0005929062,QSO
19.89876,19.22967,19.18764,19.11484,18.71421,2.506729,0.0004997865,QSO
19.58914,19.01575,18.90871,18.7951,18.5789,2.269637,0.0004712668,QSO
21.95407,18.74769,18.33032,17.67339,17.38958,3.267761,0.000480533,QSO
19.32202,18.53257,18.47565,18.31456,18.07292,2.629645,0.0002137453,QSO
24.01155,20.34588,20.04969,20.03705,19.89787,3.01511,0.0005691657,QSO
24.7966,20.22367,19.53236,19.3053,19.30373,3.267797,0.0004619403,QSO
21.57592,19.29872,18.92781,18.78895,18.76581,3.202173,0.0006946317,QSO
19.78585,19.17687,19.05564,19.0248,18.60989,2.555077,0.0001243895,QSO
19.89452,19.35795,19.32886,19.25326,18.88246,2.324731,0.000368319,QSO
20.55447,19.70047,19.17026,18.80523,18.49763,2.344552,0.0005031718,QSO
21.23392,19.95416,19.56516,19.28692,18.86191,2.595583,0.0003672138,QSO
20.76171,20.21529,20.20905,20.15803,19.95506,2.384967,0.0007678329,QSO
20.63903,20.13616,20.06051,19.93025,19.66448,2.871473,0.001249739,QSO
20.42824,20.02173,19.8951,19.59087,19.64684,2.368482,0.0004129313,QSO
21.70707,20.86453,20.40774,19.97705,19.44806,2.235831,0.0008705193,QSO
20.80127,20.2902,20.19403,20.16081,20.11544,2.284795,0.0005301908,QSO
22.36241,20.57704,20.15805,20.00032,19.90308,3.340103,0.0005970642,QSO
19.08332,18.30305,18.04937,17.97312,17.74831,2.487322,0.0002714996,QSO
19.75824,18.99525,18.95987,18.88799,18.61015,2.398734,0.0004543971,QSO
19.2685,18.47243,18.40078,18.39139,18.17547,2.637358,0.0001501588,QSO
20.56112,19.69548,19.39882,19.25938,19.23858,3.185564,0.0007679844,QSO
19.61477,19.09926,19.10804,19.00169,18.80278,2.299372,0.0002180534,QSO
21.6337,19.6684,19.23147,19.09148,19.06198,3.030152,0.0003661098,QSO
19.55074,19.16445,19.06259,19.11738,18.86713,2.522523,0.0005063638,QSO
21.4946,20.41679,20.39071,20.41551,19.8397,2.351166,0.0006972995,QSO
20.4993,19.06351,18.21445,17.79518,17.66292,2.888962,0.0005215709,QSO
22.65371,21.74032,20.95065,20.36951,19.91653,2.302163,0.0007405752,QSO
22.46292,20.12223,19.85192,19.73371,19.68885,3.020577,0.0004198089,QSO
20.75259,19.29178,19.20936,19.04858,18.89515,2.783345,0.0002489955,QSO
19.75739,19.2353,19.18496,19.12707,18.77886,2.325093,0.0002956273,QSO
19.3865,18.69481,18.39813,18.34611,18.13061,2.556067,0.0003334662,QSO
20.03914,19.26412,19.0513,19.02808,18.66515,2.503208,0.000295303,QSO
19.34342,18.9267,18.70189,18.56861,18.36663,2.200482,0.0003276331,QSO
21.47149,19.20696,18.98882,18.93708,19.00208,3.253738,0.0003687159,QSO
20.51098,19.62519,19.12386,18.91864,18.57497,2.232861,0.00125781,QSO
20.3456,19.83255,19.75505,19.79355,19.61722,2.409312,0.0005467106,QSO
21.08161,19.35323,19.09793,18.88115,18.86186,3.006381,0.0006900464,QSO
19.74942,19.21658,19.14312,19.11097,18.89255,2.292157,0.0003377321,QSO
18.80823,18.33617,18.37383,18.33056,18.13578,2.236533,0.000151282,QSO
19.28602,18.74786,18.58219,18.50513,18.27015,2.243483,0.0003581591,QSO
19.89395,19.17152,19.10653,18.91685,18.80071,2.614329,0.0005674447,QSO
19.08587,18.54993,18.38036,18.35544,18.25924,2.63128,0.0004756882,QSO
19.58945,18.26261,17.99904,17.72455,17.56332,2.92664,0.0002580283,QSO
24.4144,20.51817,20.0328,19.92911,19.83911,3.263062,0.0006892073,QSO
22.83532,20.95047,20.48763,20.31878,20.17479,2.871617,0.0008752077,QSO
22.72828,20.25476,20.10813,19.89764,19.56421,3.103044,0.0004315836,QSO
23.44836,20.72253,20.42882,20.24113,20.35213,3.066288,0.001050628,QSO
21.22606,20.35111,20.2704,20.07233,19.89874,2.740513,0.0004893062,QSO
19.57191,18.99552,18.98985,19.02297,18.77971,2.344578,0.0002503736,QSO
20.12849,19.5406,19.56772,19.27978,18.92576,2.205567,0.0002443172,QSO
22.91298,20.37979,20.12971,20.17123,20.05546,3.004468,0.0004328196,QSO
20.42587,19.21832,18.95973,18.90242,18.72232,2.738951,0.0003688195,QSO
23.42286,21.30149,20.61875,20.23023,19.7241,2.613078,0.000622837,QSO
20.20692,20.13145,19.85688,19.67244,19.55147,3.477478,0.001808737,QSO
18.97583,18.25035,18.08974,17.96836,17.67764,2.546054,0.0007503837,QSO
22.83033,19.63569,19.44609,19.34221,19.31548,3.143315,0.0002160503,QSO
20.32563,19.8888,19.66808,19.48007,19.19656,3.292177,0.0007773993,QSO
21.53694,19.82767,19.63702,19.7234,19.515,3.068276,0.0003114745,QSO
24.94955,20.86604,20.50011,20.25706,20.30393,3.056,0.003123577,QSO
22.08788,18.28826,17.69642,17.63922,17.52832,3.477415,0.0002908685,QSO
19.80392,19.30984,19.20439,18.97371,18.64893,2.231208,0.0003711545,QSO
18.78309,18.37203,18.27417,18.31246,18.17556,2.308345,0.0005519895,QSO
23.3624,20.71296,20.32454,20.22904,20.41998,3.169871,0.0009765474,QSO
23.86472,21.24839,20.54692,20.37436,20.29366,3.397646,0.001283163,QSO
19.28875,18.75742,18.67719,18.51216,18.23264,2.217294,0.0002052552,QSO
20.42177,19.52766,19.3442,19.00547,18.59396,2.254178,0.0003674206,QSO
20.98128,20.38408,20.06586,19.78012,19.42755,2.239284,0.0006422344,QSO
20.09018,19.70281,19.49231,19.49764,19.30615,2.476839,0.001328218,QSO
20.76577,20.07931,19.85727,19.80478,19.56754,2.263146,0.000668709,QSO
20.57531,19.95692,19.67491,19.70658,19.62537,2.243766,0.002003189,QSO
21.09629,20.36971,20.46795,20.40688,20.07491,2.622139,0.0005730158,QSO
25.6357,21.11482,20.57752,20.39347,20.65067,3.202965,0.00137848,QSO
22.13897,20.37537,20.12721,19.64846,19.60519,2.841659,0.0004206233,QSO
24.12765,20.84929,20.5551,20.42094,20.16624,3.055283,0.0005173287,QSO
24.36141,20.91809,20.42216,20.2076,19.93975,3.269509,0.001617717,QSO
20.01958,18.73091,18.45349,18.31067,18.2758,3.047913,0.0002475705,QSO
20.47314,19.94982,19.7801,19.73466,19.55857,2.394207,0.000336235,QSO
21.4121,19.83041,19.55924,19.55789,19.49951,3.132713,0.0008166285,QSO
19.44344,18.78547,18.68473,18.63898,18.28495,2.307055,0.0002123387,QSO
22.11255,20.29549,19.94342,19.8816,20.04087,3.054014,0.0009840358,QSO
20.01455,19.45164,19.12487,19.03336,18.83903,2.39993,0.0005180685,QSO
18.74758,18.13135,18.04376,17.9356,17.66846,2.267401,0.0001777254,QSO
19.31706,18.79608,18.65488,18.66247,18.50414,2.578949,0.0004847147,QSO
19.94391,19.42306,19.27554,19.21942,19.02002,2.410798,0.0007211686,QSO
19.40501,18.10427,18.09704,18.12775,18.21595,0.0006005246,2.033313e-05,STAR
16.95076,16.51067,16.64215,16.81274,17.01157,-0.0002443073,1.780399e-05,STAR
18.68811,18.27849,18.34214,18.47045,18.61139,-6.583336e-05,5.039021e-05,STAR
20.46657,20.06338,20.32423,20.55201,21.10359,-0.0002587513,0.0001898356,STAR
19.27059,18.79577,18.93402,19.10771,19.29378,-0.0002599027,7.338508e-05,STAR
18.3136,16.99695,16.4547,16.19937,16.11457,0.0001605878,9.64798e-06,STAR
20.87824,25.10559,24.81643,25.0267,23.2544,0.000151985,0.000141913,STAR
22.24066,19.18771,17.50924,15.2433,14.03525,-6.372974e-05,3.557372e-05,STAR
18.86763,17.76468,17.57444,17.57103,17.56523,0.0002256552,1.829432e-05,STAR
17.68934,16.59939,16.23433,16.09866,16.05293,1.640591e-05,8.813818e-06,STAR
17.88763,16.69078,16.81689,16.93591,17.00832,0.0004925642,7.709806e-06,STAR
25.61501,25.50066,23.87794,20.48974,18.89127,2.843799e-05,4.08538e-05,STAR
23.35292,21.05859,20.06637,19.69639,18.86231,0.000385456,5.692773e-05,STAR
19.09813,17.83661,17.28741,17.09298,16.98441,0.0003758192,9.830715e-06,STAR
18.39051,17.18037,16.95921,16.86836,16.86576,0.0006633649,1.228166e-05,STAR
16.96531,15.67611,15.70033,15.73568,15.83651,-0.0003828644,5.416867e-06,STAR
17.6573,16.53887,16.14576,15.99873,15.95402,-0.0001019948,9.332035e-06,STAR
18.57768,17.39426,17.00035,16.88044,16.81707,-1.068308e-05,1.049109e-05,STAR
23.82879,23.38734,22.55832,20.64613,19.01117,0.0001377936,4.748072e-05,STAR
21.33381,21.04888,20.6895,20.08974,19.50745,-6.119941e-05,0.000127596,STAR
19.36893,18.96476,19.06293,19.23139,19.35629,0.0001110906,7.460005e-05,STAR
20.36828,18.21359,17.39659,17.11798,17.3827,0.0001784339,8.602095e-06,STAR
19.30377,18.14375,17.68071,17.50907,17.45137,0.0002133724,1.336234e-05,STAR
24.84471,20.75792,19.17888,17.93846,17.2784,6.569824e-05,2.397361e-05,STAR
18.30718,17.03695,16.47322,16.26131,16.15493,0.0002861073,1.017449e-05,STAR
18.90858,17.80221,17.33271,17.1181,17.03661,0.0001012022,1.618991e-05,STAR
19.21144,17.89401,17.31345,17.09048,16.97575,-3.48146e-05,1.007914e-05,STAR
24.63377,21.24224,19.82011,18.33215,17.6139,9.570571e-05,2.460136e-05,STAR
17.92525,16.5552,15.99066,15.78363,15.65566,0.0001260678,8.465737e-06,STAR
22.2616,20.72261,19.12685,18.35394,17.83993,-3.042288e-05,2.108187e-05,STAR
21.91368,19.37367,18.29461,17.82182,17.6018,0.000189626,1.112506e-05,STAR
25.1864,21.4437,20.07783,19.0022,18.50836,0.0002473196,6.311073e-05,STAR
19.66833,17.92234,17.25717,17.05259,16.91332,0.0001764043,9.099656e-06,STAR
18.30443,17.03799,16.79379,16.73142,16.67282,0.0008712676,1.209297e-05,STAR
23.00026,20.32858,18.9949,18.06741,17.47589,7.588381e-05,1.123533e-05,STAR
19.27353,17.99864,17.55277,17.36244,17.32288,0.0002153156,1.160849e-05,STAR
20.02085,18.94365,18.46032,18.26551,18.11797,0.0001916431,4.881094e-05,STAR
18.41703,17.34789,16.97086,16.80682,16.7621,9.516112e-05,1.029388e-05,STAR
22.19767,19.92175,18.7762,18.28527,18.16385,9.049811e-05,1.6405e-05,STAR
22.30912,19.67847,18.23864,17.46437,17.01274,-2.991188e-05,1.68174e-05,STAR
18.10199,17.10438,16.90736,16.85744,16.87422,0.000726165,1.287571e-05,STAR
18.94511,18.0258,17.72928,17.62256,17.58311,-0.0002608659,1.666236e-05,STAR
16.19467,15.0679,14.67186,14.66407,14.53051,-0.0002324317,7.148793e-06,STAR
18.1403,16.86233,16.39181,16.20565,16.07201,8.528106e-05,9.36882e-06,STAR
19.16511,17.96164,17.47144,17.29491,17.18517,9.313188e-05,1.23795e-05,STAR
18.97195,18.04227,17.76186,17.67033,17.6423,0.0005659458,2.491422e-05,STAR
17.25476,16.29276,15.9481,15.83226,15.7791,0.0002400991,8.793561e-06,STAR
19.02575,18.05059,17.67299,17.57721,17.55323,-7.899252e-05,1.475086e-05,STAR
18.5494,17.70168,17.42755,17.3022,17.28387,0.0001450849,2.403288e-05,STAR
17.97104,16.95307,16.87856,16.85552,16.9302,0.0001227134,9.350187e-06,STAR
19.11718,17.91254,17.74482,17.66446,17.69461,0.0005503032,2.491789e-05,STAR
18.63828,18.14047,18.15298,17.82612,17.32057,-0.0003466416,3.782068e-05,STAR
19.9531,18.79084,18.8028,18.89795,18.9186,0.0004692221,3.277545e-05,STAR
17.80285,17.29478,17.34982,17.30921,17.14651,-7.940002e-05,2.11341e-05,STAR
16.22257,15.13976,14.75999,14.62028,14.60724,3.38032e-05,8.359947e-06,STAR
19.65811,18.64584,18.22208,18.09298,18.04106,0.0002617083,1.785585e-05,STAR
18.44808,17.27854,16.83292,16.72679,16.6869,0.0003553487,1.06485e-05,STAR
19.012,17.70736,17.20122,17.00086,16.91088,-0.000254212,1.162973e-05,STAR
19.37011,18.11662,17.59791,17.36776,17.26046,0.0005164634,1.543086e-05,STAR
17.77345,16.9191,16.51673,16.36563,16.28793,0.0002205207,1.029691e-05,STAR
21.29144,18.80031,17.50478,16.98284,16.70052,-4.636661e-05,1.015636e-05,STAR
19.56112,18.53069,18.07694,17.8908,17.82,0.0009279004,2.426415e-05,STAR
17.87527,16.69976,16.27826,16.1407,16.06713,-2.648397e-05,9.109906e-06,STAR
18.57463,17.71417,17.39656,17.32173,17.29555,0.0001187021,1.54658e-05,STAR
18.10467,17.13378,16.79585,16.66134,16.61024,-0.0003797647,2.097856e-05,STAR
19.02003,18.01154,17.94134,17.958,17.99689,0.0005874605,2.277317e-05,STAR
16.57562,15.40951,15.04677,14.90424,14.88081,8.284297e-05,1.025531e-05,STAR
18.55747,18.17215,18.19806,18.33339,18.51902,-6.738894e-05,4.831864e-05,STAR
19.8534,18.37805,17.78915,17.60334,17.46931,-5.877444e-05,1.119447e-05,STAR
21.57719,19.61119,18.62777,18.34543,18.19765,0.0004542874,4.801637e-05,STAR
18.53161,17.39047,16.97974,16.83079,16.78391,0.0002269064,1.081366e-05,STAR
19.00893,17.857,17.73834,17.67373,17.6989,0.0003349819,1.295428e-05,STAR
17.53489,16.56712,16.48704,16.51312,16.56056,-0.0003780571,9.377089e-06,STAR
19.89781,18.93836,18.66276,18.54872,18.59385,0.0006131929,5.520246e-05,STAR
20.02291,19.04099,18.92536,18.91047,18.97701,0.0005146778,8.141204e-05,STAR
16.79157,15.4883,14.95057,14.69978,14.6059,0.0008376488,9.413961e-06,STAR
17.41888,16.35192,15.98787,15.87527,15.86699,-9.939216e-05,9.847375e-06,STAR
17.952,16.78304,16.84871,16.9185,17.01814,0.000235872,8.958062e-06,STAR
17.5673,16.54554,16.19628,16.06209,16.02136,0.0004510147,9.45867e-06,STAR
20.12331,18.89873,18.96508,19.08906,19.14223,8.280142e-05,3.351808e-05,STAR
24.82991,21.44176,19.50583,18.23957,17.51827,0.0002535718,1.496049e-05,STAR
19.676,19.2343,19.43356,19.68765,19.90263,0.00027118,9.358711e-05,STAR
19.86291,18.7059,18.88208,19.07156,19.20552,6.266798e-05,2.594657e-05,STAR
18.2245,17.20267,16.84266,16.70645,16.63646,0.0001217342,1.294288e-05,STAR
18.48185,18.07594,18.19144,18.32896,18.51424,1.120877e-06,3.827826e-05,STAR
24.47659,25.61063,22.92752,20.7659,18.52873,1.006899e-05,1.318155e-05,STAR
19.65681,18.44556,18.59921,18.68569,18.8273,0.0006853736,2.455074e-05,STAR
17.98146,16.77431,16.58365,16.64907,16.494,0.0006851788,1.184261e-05,STAR
17.76234,16.51863,16.64846,16.78553,16.86384,-0.0009121475,7.023684e-06,STAR
19.00396,18.02048,17.82713,17.77986,17.77073,-0.0004264454,2.245799e-05,STAR
25.3455,22.96725,21.21718,18.3587,16.70045,4.175442e-05,2.216642e-05,STAR
20.75595,19.48065,19.58095,19.74648,19.6926,1.931538e-05,5.557124e-05,STAR
17.43431,16.28185,16.35721,16.46584,16.54112,-0.0001177948,7.427133e-06,STAR
17.60034,16.43408,15.98096,15.82846,15.7533,-0.0001601786,9.649832e-06,STAR
20.76507,19.46855,19.60518,19.77019,19.91968,3.03158e-05,6.146257e-05,STAR
18.72912,17.41073,17.54755,17.63797,17.75067,0.0003932155,1.289326e-05,STAR
20.07905,19.11234,18.97065,18.90831,18.94875,-9.03668e-05,4.621728e-05,STAR
18.95494,17.72087,17.71092,17.76215,17.78098,0.0003494134,2.198346e-05,STAR
18.73878,16.74738,15.96215,15.67979,15.55538,5.265658e-05,7.184291e-06,STAR
16.73716,15.47637,15.48897,15.48805,15.52227,-0.0001686096,5.835042e-06,STAR
19.71853,19.33803,19.61309,19.84013,20.19647,0.0001342912,0.0001351557,STAR
20.43254,20.3604,20.70778,21.11388,21.11189,0.0003374637,0.0003077433,STAR
20.23197,19.73999,19.93699,20.06564,20.33448,2.208539e-05,0.0001750125,STAR
20.512,19.3315,19.44833,19.62097,19.75952,0.0005604127,4.115745e-05,STAR
18.71802,17.9121,17.5847,17.44857,17.3923,1.236766e-05,2.560077e-05,STAR
20.35613,19.31113,19.29578,19.37531,19.46128,-0.0003171152,7.901641e-05,STAR
20.22864,19.29875,19.26267,19.30765,19.39147,0.0008316535,7.150127e-05,STAR
20.07817,19.10998,18.95788,18.94592,18.95484,0.0006278567,7.548143e-05,STAR
19.41407,18.40067,18.25726,18.19205,18.19572,0.0005691266,3.66755e-05,STAR
18.63638,17.58917,17.26604,17.15769,17.13503,6.59783e-05,1.44875e-05,STAR
16.54544,15.31752,15.52018,15.66668,15.719,0.0006059481,5.143871e-06,STAR
19.37689,18.96271,19.17317,19.37223,19.51829,0.0001679244,9.575431e-05,STAR
19.70379,18.58816,18.7782,18.94789,19.0096,-0.0002998669,3.629035e-05,STAR
19.24698,18.05282,17.49989,17.3099,17.20218,0.0001821459,1.375904e-05,STAR
17.93831,16.95646,16.80236,16.80332,16.8134,0.0001871139,1.230118e-05,STAR
19.83502,18.6171,18.75785,18.84196,19.01546,0.000771918,2.938248e-05,STAR
20.2001,19.32158,19.14087,19.03521,18.95481,-0.0003426528,9.04842e-05,STAR
17.26707,16.27278,15.92744,15.79452,15.75337,0.0001613979,8.35639e-06,STAR
17.33222,16.11625,15.69315,15.52471,15.4523,-3.545724e-05,7.891188e-06,STAR
20.29258,19.83893,19.88974,20.05617,20.20486,-0.0004058222,0.0001595817,STAR
20.3891,19.28172,19.32444,19.39051,19.41204,0.0001322459,6.26831e-05,STAR
22.51521,20.34983,19.49108,19.57565,18.9083,-5.500568e-05,2.609517e-05,STAR
18.69247,17.63453,17.61037,17.62006,17.69097,0.0004200723,1.445831e-05,STAR
21.69761,19.62951,18.36708,17.34378,16.78811,1.165554e-05,1.42897e-05,STAR
17.11367,16.15894,15.8514,15.70498,15.65921,0.0009841979,1.042445e-05,STAR
16.76323,15.54075,15.05652,14.88043,14.82938,-0.0003228984,8.500338e-06,STAR
18.78329,17.8319,17.48626,17.76023,17.29767,-0.0002969076,1.501819e-05,STAR
19.24659,18.03515,17.6041,17.437,17.41626,0.0001114514,1.242255e-05,STAR
18.69666,17.6978,17.57743,17.5903,17.64193,-4.253162e-06,1.686092e-05,STAR
21.0169,18.58927,17.52318,17.14003,16.90405,0.0001670518,1.106624e-05,STAR
17.04199,15.9123,15.54611,15.40801,15.40021,9.708016e-06,8.369413e-06,STAR
19.23799,18.08889,17.62004,17.46752,17.37957,2.830969e-05,1.306632e-05,STAR
19.03366,17.85306,17.41576,17.24541,17.19734,-6.790568e-05,1.295277e-05,STAR
17.58817,16.4874,16.04678,15.88605,15.8497,0.0001799836,9.151478e-06,STAR
23.88753,21.98532,20.65646,20.00259,19.55826,0.0001409231,9.573527e-05,STAR
18.22762,17.19797,16.78441,16.61509,16.56046,-0.0001231572,1.135134e-05,STAR
16.78314,15.84231,15.58003,15.45846,15.43344,0.0003418917,9.76423e-06,STAR
18.77778,18.33618,18.50405,18.66533,18.86438,-0.0001607864,4.34389e-05,STAR
19.2481,18.04719,17.49524,17.28215,17.20138,0.0001296632,1.380661e-05,STAR
16.97457,15.76403,15.33379,15.16183,15.11516,3.002865e-05,8.400864e-06,STAR
19.02802,17.93951,17.7252,17.71313,17.70609,-0.0004770985,1.788473e-05,STAR
17.38826,16.24028,15.81762,15.66513,15.61215,0.0001275308,9.035854e-06,STAR
18.75693,17.51668,17.38619,17.37687,17.35603,6.180265e-05,1.34626e-05,STAR
20.63293,19.24159,18.68936,18.40827,18.3344,0.0002213758,2.01605e-05,STAR
22.05696,19.5831,18.12128,17.74871,17.44046,2.682801e-05,1.127062e-05,STAR
18.67422,18.26177,18.31935,18.39625,18.55419,5.136375e-05,4.067179e-05,STAR
20.03661,18.93334,18.72684,18.69449,18.6818,0.0008977249,4.964263e-05,STAR
17.0694,16.02043,15.61708,15.48805,15.45358,0.0003312605,1.056796e-05,STAR
20.0535,19.08363,18.79315,18.72997,18.74501,0.0001449704,4.698208e-05,STAR
18.80713,17.79015,17.48219,17.13342,17.29587,0.0004809483,1.269315e-05,STAR
22.51371,20.52445,19.05678,18.09808,17.53902,7.556431e-06,1.636159e-05,STAR
24.07009,21.02486,19.55295,18.68813,18.21891,0.0001262136,3.479387e-05,STAR
21.20418,19.13035,18.17317,17.77162,17.53323,-6.0619e-05,1.29338e-05,STAR
17.06058,16.15749,15.76703,15.62506,15.58885,0.0001447284,8.025675e-06,STAR
18.94051,17.79138,17.36691,17.19686,17.13029,0.0002337807,1.052845e-05,STAR
21.15084,18.77437,17.3934,16.42905,15.86189,0.0001035498,9.016814e-06,STAR
23.84539,21.91829,19.92646,19.13645,18.69428,0.0003024576,3.344626e-05,STAR
