u.mag,g.mag,r.mag,i.mag,z.mag,redshift,redshift.err,class
19.3905,18.86303,18.88282,18.97487,18.78782,2.496748,0.0002550688,QSO
20.72313,20.21453,20.24817,20.16691,19.92963,2.241838,0.0002701603,QSO
19.77432,19.43432,19.36478,19.37141,19.20616,2.230862,0.0004699542,QSO
22.89816,20.53958,20.0805,19.81942,19.74638,2.917986,0.0003437055,QSO
19.50321,18.95278,18.79941,18.54909,18.51163,2.304483,0.0004022353,QSO
22.26664,20.97817,20.58709,20.22658,19.69747,2.460392,0.0004107013,QSO
23.76494,19.50085,18.88053,18.46834,18.27745,3.280246,0.0002557217,QSO
21.25941,19.61577,19.34872,19.16375,19.07431,2.935622,0.0001634892,QSO
21.55878,19.58784,19.42996,19.30201,19.09232,3.025317,0.0002405233,QSO
21.49949,19.48557,19.29412,19.22093,19.0774,2.966944,0.0004998504,QSO
19.38422,18.9615,18.76587,18.74794,18.59948,2.808357,0.0007128423,QSO
19.36606,18.95465,18.86947,18.86953,18.70908,2.297603,0.00065007,QSO
21.01809,19.90899,19.55468,19.14652,18.95356,2.754289,0.0004205244,QSO
19.97227,19.36211,19.22322,19.16594,18.97383,2.249287,0.0005552488,QSO
19.93028,19.40006,19.32868,19.30707,19.04842,2.288086,0.00042568,QSO
19.95512,19.38101,19.26646,18.98964,18.7124,2.227948,0.0001891648,QSO
19.83352,19.28276,19.26051,19.12383,19.03512,2.269612,0.0002124502,QSO
19.93166,19.30665,19.35839,19.23035,19.00787,2.292278,0.000541834,QSO
19.71715,19.11138,18.78679,18.7413,18.57806,2.363262,0.0002376281,QSO
19.69885,19.21836,19.0785,19.05273,18.90327,2.334367,0.0005429814,QSO
22.08748,20.91966,20.37658,19.91814,19.54543,2.352449,0.0008508808,QSO
19.43692,18.88945,18.75317,18.54274,18.346,2.21112,0.000228941,QSO
21.86623,19.45447,19.13381,19.02515,18.95139,3.104018,0.0005194141,QSO
22.02029,21.52257,20.90482,20.4126,19.72353,2.504542,0.0007934372,QSO
21.69331,20.03825,19.75465,19.70864,19.63818,3.139767,0.0003967319,QSO
19.28599,18.73865,18.54519,18.55219,18.43336,2.436579,0.0004021944,QSO
19.96586,19.31112,19.1151,19.03075,18.80128,2.293501,0.0005891476,QSO
22.19158,20.21521,19.69401,19.60051,19.64203,3.398038,0.0004642212,QSO
21.45366,19.80865,19.66532,19.58795,19.40388,2.961977,0.0003964579,QSO
22.208,20.00195,19.69998,19.6251,19.60089,3.229939,0.000490005,QSO
19.6601,19.19165,19.17916,19.12881,18.95245,2.254498,0.0002697908,QSO
21.15967,18.83354,18.65467,18.65959,18.671,3.199029,0.0001408867,QSO
24.36394,18.70486,18.08887,17.97337,17.89105,3.348866,0.0006969223,QSO
19.95408,19.17614,18.71985,18.38555,17.96627,2.236598,0.0002424599,QSO
20.61922,20.2917,20.32914,20.33066,19.97054,2.451782,0.001453171,QSO
21.46297,20.3926,19.93311,19.72705,19.16018,2.399217,0.0007744002,QSO
20.15637,19.74687,19.75904,19.72137,19.74633,2.249576,0.0006343601,QSO
21.39717,19.53263,19.22062,19.21707,19.26089,3.213864,0.0003215714,QSO
19.26723,18.82065,18.69507,18.58177,18.31685,2.22808,0.0002431445,QSO
22.88209,20.93892,20.37517,19.95584,19.28868,2.546086,0.000446826,QSO
19.54827,18.82142,18.60443,18.45105,18.23858,2.623593,0.0003203778,QSO
20.02752,19.32295,19.20451,19.04207,18.74949,2.445235,0.0001051352,QSO
18.96229,18.47089,18.41027,18.22765,17.94499,2.237129,0.0002390624,QSO
20.21831,19.48995,19.47368,19.31375,19.05838,2.342134,0.0001774707,QSO
25.91439,20.09998,19.73928,19.54454,19.5302,3.390846,0.0001291803,QSO
21.97769,19.40484,19.06029,19.12741,19.02248,3.138414,0.0002086063,QSO
19.45519,18.89158,18.85121,18.893,18.6655,2.403858,0.0004119202,QSO
19.63404,19.02309,18.93698,18.82824,18.48131,2.44315,0.0001924342,QSO
21.17421,25.11426,24.80207,24.36167,20.31775,2.544038,0.0005709109,QSO
19.48092,18.93643,18.86575,18.90004,18.75183,2.418205,0.000354876,QSO
19.95768,19.39887,19.18682,18.97269,18.88918,2.703078,0.0003863582,QSO
20.85959,20.30251,20.17197,20.14234,19.84989,2.411132,0.001046254,QSO
22.73493,19.88149,19.63962,19.67823,19.44528,3.153503,0.0004481968,QSO
19.24524,18.74194,18.61379,18.60058,18.39859,2.518641,0.0002267912,QSO
24.87408,20.2869,19.40709,18.82732,18.46783,3.322426,0.001055633,QSO
20.6761,18.94462,18.59714,18.50733,18.26382,2.955297,0.0002734332,QSO
21.45766,19.97567,19.6783,19.68666,19.40438,2.917476,0.0002159141,QSO
20.41087,19.84839,19.73814,19.65346,19.48802,2.368894,0.0004749824,QSO
20.38332,19.57645,19.47242,19.24062,18.9275,2.372638,0.0002037243,QSO
19.76304,19.18036,19.16603,19.08335,18.87658,2.407132,0.0001765577,QSO
23.52074,21.08945,20.29105,20.09628,19.65911,3.266423,0.0005839206,QSO
21.7584,20.48293,19.51383,18.71313,18.38995,2.237138,0.0003362641,QSO
19.83923,19.28584,19.12512,19.06622,18.77645,2.204356,0.000399484,QSO
19.9323,19.31098,19.18209,19.10687,18.93712,2.662731,0.0003137699,QSO
20.35852,19.93594,19.7797,19.75892,19.43616,2.243967,0.0006450689,QSO
21.33389,18.23922,17.92846,17.83317,17.78189,3.20127,0.0001101015,QSO
21.8089,20.09811,19.9267,19.92409,19.87606,3.285906,0.0001898503,QSO
20.88584,18.95805,18.6101,18.5204,18.36606,2.969981,0.0002977625,QSO
19.69094,19.07608,19.03378,18.97007,18.76983,2.370536,0.000245671,QSO
23.74851,21.21779,20.98999,20.42555,20.3801,2.956122,0.0005901091,QSO
21.43769,19.32835,19.09242,19.07844,19.08474,3.129443,0.0002122842,QSO
19.49811,18.83668,18.85849,18.80512,18.56277,2.366824,0.0001404819,QSO
16.72074,16.05711,15.93213,15.82956,15.75058,2.737447,0.0005190815,QSO
20.44729,18.53808,17.91137,17.41663,17.00048,2.389372,0.0002175956,QSO
20.57411,19.90581,19.8185,19.76553,19.54409,2.338194,0.0006088527,QSO
21.18882,20.30765,20.39487,20.65813,20.35993,2.475393,0.0003453747,QSO
18.65655,18.07426,17.88853,17.79896,17.63649,2.558673,0.0001985121,QSO
20.50249,19.48165,19.35363,19.28532,19.1293,2.711712,0.0003509665,QSO
20.22134,19.34699,19.50183,19.44505,19.10464,2.600706,0.0001046614,QSO
20.62523,19.85628,19.73378,19.76879,19.54149,2.651685,0.0005759956,QSO
20.34295,19.84119,19.80588,19.73443,19.59582,2.248061,0.00057478,QSO
20.88355,20.40269,20.12081,20.06531,19.72585,2.225191,0.001044046,QSO
21.85892,20.38119,20.12803,19.70872,19.30721,2.878514,0.001024738,QSO
21.08031,20.25824,20.35729,20.21528,19.84223,2.367916,0.000491458,QSO
19.48006,18.87712,18.70229,18.63197,18.40633,2.585003,0.0002165707,QSO
19.73044,19.09075,19.00236,18.94311,18.67481,2.441395,0.0003205681,QSO
22.30003,19.85631,19.69834,19.63465,19.54348,3.0185,0.0002704528,QSO
19.74036,19.21591,19.16149,19.19594,19.1388,2.639799,0.0003318822,QSO
19.81202,19.00493,18.60843,18.19154,18.07142,2.293919,1.646983e-05,QSO
21.64476,18.53018,18.4511,18.42344,18.37136,3.162004,0.0001032361,QSO
21.75871,19.90599,19.64779,19.55371,19.62526,3.150984,0.0003880606,QSO
20.06757,19.33537,19.22331,19.09362,18.7101,2.292055,0.0004932617,QSO
21.0787,19.48374,19.2179,19.14901,19.05996,3.027501,0.0005955495,QSO
23.37791,21.35954,20.6905,20.1947,19.64839,2.314153,0.0009321037,QSO
20.5851,19.91826,19.72853,19.65464,19.47804,2.545435,0.0005290093,QSO
20.53503,19.89639,19.89713,19.88266,19.69364,2.351024,0.0005528621,QSO
20.81375,20.04642,19.98884,19.86606,19.54384,2.300599,0.0003769511,QSO
21.06239,20.40527,20.33496,20.30979,20.10309,2.566686,0.0007256695,QSO
19.38746,18.78107,18.69764,18.65352,18.32321,2.286423,0.0003305905,QSO
19.37238,18.82707,18.78848,18.78592,18.56212,2.343199,0.0004231598,QSO
22.18332,19.28578,18.80787,18.66769,18.68696,3.279476,0.001001397,QSO
21.29483,20.60555,20.66508,20.51917,20.10476,2.283308,0.0003325931,QSO
20.88906,20.45456,20.4533,20.32847,19.96125,2.247491,0.0004365852,QSO
21.64936,19.60869,22.58961,19.19687,18.58609,3.398576,0.0001798645,QSO
19.58007,18.99276,18.93059,18.8236,18.62502,2.296073,0.000553358,QSO
20.67398,19.59615,19.10466,18.89361,18.53236,2.485708,0.0003832751,QSO
22.22162,21.27082,20.62449,20.11162,19.61359,2.207019,0.0007463783,QSO
19.20335,17.87032,17.64599,17.54994,17.47895,3.287744,0.0001725571,QSO
20.18539,17.97156,17.64944,17.53679,17.47713,3.226717,0.0003947898,QSO
19.4923,19.07128,18.81906,18.66605,18.5529,2.6472,0.0004877631,QSO
19.9742,19.40963,19.30814,19.24812,18.94191,2.275975,0.0005419871,QSO
25.79547,21.47882,20.72448,19.92299,19.88757,2.882798,0.00077017,QSO
18.4327,17.9204,17.95375,17.86876,17.66406,2.339685,0.0001077563,QSO
18.36378,17.91119,17.72164,17.57069,17.38898,2.219761,0.0002757928,QSO
18.64592,18.05965,17.93065,17.87882,17.57493,2.427173,0.0001343694,QSO
